Product Name,Quantity Ordered,Total Sales,Order Time,Year,Month,Day,Order HourMinute,Machine
아이스티+샷추가,1,2500,2025-06-18 13:59:22,2025,6,18,13:59,A
ICE 초코라떼,1,2500,2025-06-18 13:50:00,2025,6,18,13:50,A
아이스티+샷추가,1,2500,2025-06-18 11:46:07,2025,6,18,11:46,A
ICE 아메리카노,1,1500,2025-06-18 11:43:41,2025,6,18,11:43,A
ICE 아메리카노,1,1500,2025-06-18 11:41:39,2025,6,18,11:41,A
ICE 바닐라라떼,1,2700,2025-06-18 11:36:25,2025,6,18,11:36,A
ICE 아메리카노,1,1500,2025-06-18 11:33:54,2025,6,18,11:33,A
ICE 청귤티,1,2000,2025-06-18 11:24:45,2025,6,18,11:24,A
HOT 아메리카노,1,1500,2025-06-18 11:16:48,2025,6,18,11:16,A
ICE 복숭아티,1,2000,2025-06-18 11:14:13,2025,6,18,11:14,A
ICE 복숭아티,1,2000,2025-06-18 08:49:33,2025,6,18,08:49,A
ICE 복숭아티,1,2000,2025-06-18 08:44:42,2025,6,18,08:44,A
ICE 아메리카노,1,1500,2025-06-18 06:51:24,2025,6,18,06:51,A
ICE 아메리카노,1,1500,2025-06-18 06:48:18,2025,6,18,06:48,A
ICE 카페라떼,1,2000,2025-06-18 06:46:37,2025,6,18,06:46,A
ICE 아메리카노,1,1500,2025-06-18 06:16:45,2025,6,18,06:16,A
ICE 바닐라라떼,1,2700,2025-06-18 06:15:03,2025,6,18,06:15,A
ICE 아메리카노,1,1500,2025-06-18 06:12:30,2025,6,18,06:12,A
아이스티+샷추가,1,2500,2025-06-18 06:11:01,2025,6,18,06:11,A
ICE 아메리카노,1,1500,2025-06-18 06:09:26,2025,6,18,06:09,A
ICE 아메리카노,1,1500,2025-06-18 06:07:54,2025,6,18,06:07,A
ICE 아메리카노,1,1500,2025-06-18 06:06:18,2025,6,18,06:06,A
ICE 아메리카노,1,1500,2025-06-18 06:04:52,2025,6,18,06:04,A
ICE 아메리카노,1,1500,2025-06-18 06:03:19,2025,6,18,06:03,A
HOT 아메리카노,1,1500,2025-06-18 06:01:53,2025,6,18,06:01,A
HOT 아메리카노,1,1500,2025-06-18 06:00:26,2025,6,18,06:00,A
ICE 아메리카노,1,1500,2025-06-18 05:58:36,2025,6,18,05:58,A
ICE 아메리카노,1,1500,2025-06-18 05:57:09,2025,6,18,05:57,A
ICE 아메리카노,1,1500,2025-06-18 05:55:35,2025,6,18,05:55,A
HOT 아메리카노,1,1500,2025-06-18 05:51:57,2025,6,18,05:51,A
HOT 아메리카노,1,1500,2025-06-18 05:42:17,2025,6,18,05:42,A
HOT 아메리카노,1,1500,2025-06-18 05:40:40,2025,6,18,05:40,A
ICE 토피넛,1,2500,2025-06-18 05:39:11,2025,6,18,05:39,A
ICE 아메리카노,1,1500,2025-06-18 05:23:14,2025,6,18,05:23,A
아이스티+샷추가,1,2500,2025-06-17 16:28:32,2025,6,17,16:28,A
HOT 초코라떼,1,2500,2025-06-17 13:47:41,2025,6,17,13:47,A
아이스티+샷추가,1,2500,2025-06-17 11:57:08,2025,6,17,11:57,A
ICE 청포도주스,1,2000,2025-06-17 11:46:53,2025,6,17,11:46,A
ICE 아메리카노,1,1500,2025-06-17 11:29:48,2025,6,17,11:29,A
ICE 초코라떼,1,2500,2025-06-17 11:13:36,2025,6,17,11:13,A
아이스티+샷추가,1,2500,2025-06-17 11:04:59,2025,6,17,11:04,A
HOT 토피넛,1,2500,2025-06-17 08:56:19,2025,6,17,08:56,A
ICE 아메리카노,1,1500,2025-06-17 08:53:19,2025,6,17,08:53,A
ICE 아메리카노,1,1500,2025-06-17 08:47:57,2025,6,17,08:47,A
ICE 복숭아티,1,2000,2025-06-17 08:44:04,2025,6,17,08:44,A
ICE 아메리카노,1,1500,2025-06-17 06:45:22,2025,6,17,06:45,A
ICE 아메리카노,1,1500,2025-06-17 06:18:39,2025,6,17,06:18,A
HOT 아메리카노,1,1500,2025-06-17 06:15:40,2025,6,17,06:15,A
HOT 아메리카노,1,1500,2025-06-17 06:14:19,2025,6,17,06:14,A
HOT 아메리카노,1,1500,2025-06-17 06:04:34,2025,6,17,06:04,A
ICE 아메리카노,1,1500,2025-06-17 06:02:35,2025,6,17,06:02,A
ICE 아메리카노,1,1500,2025-06-17 06:00:58,2025,6,17,06:00,A
아이스티+샷추가,1,2500,2025-06-17 05:59:13,2025,6,17,05:59,A
ICE 아메리카노,1,1500,2025-06-17 05:57:30,2025,6,17,05:57,A
HOT 아메리카노,1,1500,2025-06-17 05:55:40,2025,6,17,05:55,A
ICE 아메리카노,1,1500,2025-06-17 05:53:58,2025,6,17,05:53,A
ICE 아메리카노,1,1500,2025-06-17 05:51:24,2025,6,17,05:51,A
ICE 아메리카노,1,1500,2025-06-17 05:49:50,2025,6,17,05:49,A
ICE 아메리카노,1,1500,2025-06-17 05:48:12,2025,6,17,05:48,A
HOT 카페라떼,1,2000,2025-06-17 05:46:40,2025,6,17,05:46,A
ICE 아메리카노,1,1500,2025-06-17 05:44:43,2025,6,17,05:44,A
ICE 카페라떼,1,2000,2025-06-17 05:40:28,2025,6,17,05:40,A
ICE 아메리카노,1,1500,2025-06-17 05:35:31,2025,6,17,05:35,A
ICE 아메리카노,1,1500,2025-06-17 05:33:19,2025,6,17,05:33,A
ICE 아메리카노,1,1500,2025-06-17 05:22:16,2025,6,17,05:22,A
HOT 아메리카노,1,1500,2025-06-16 17:49:55,2025,6,16,17:49,A
ICE 초코라떼,1,2500,2025-06-16 17:09:11,2025,6,16,17:09,A
ICE 카페라떼,1,2000,2025-06-16 17:03:50,2025,6,16,17:03,A
아이스티+샷추가,1,2500,2025-06-16 13:44:57,2025,6,16,13:44,A
ICE 바닐라라떼,1,2700,2025-06-16 11:42:35,2025,6,16,11:42,A
ICE 아메리카노,1,1500,2025-06-16 11:22:11,2025,6,16,11:22,A
HOT 아메리카노,1,1500,2025-06-16 08:53:31,2025,6,16,08:53,A
ICE 초코라떼,1,2500,2025-06-16 08:51:47,2025,6,16,08:51,A
HOT 아메리카노,1,1500,2025-06-16 08:49:52,2025,6,16,08:49,A
ICE 아메리카노,1,1500,2025-06-16 08:48:04,2025,6,16,08:48,A
아이스티+샷추가,1,2500,2025-06-16 08:46:29,2025,6,16,08:46,A
ICE 복숭아티,1,2000,2025-06-16 08:44:54,2025,6,16,08:44,A
HOT 토피넛,1,2500,2025-06-16 06:42:51,2025,6,16,06:42,A
ICE 아메리카노,1,1500,2025-06-16 06:13:56,2025,6,16,06:13,A
ICE 아메리카노,1,1500,2025-06-16 06:11:52,2025,6,16,06:11,A
ICE 아메리카노,1,1500,2025-06-16 06:09:05,2025,6,16,06:09,A
ICE 아메리카노,1,1500,2025-06-16 06:05:22,2025,6,16,06:05,A
ICE 아메리카노,1,1500,2025-06-16 06:03:50,2025,6,16,06:03,A
ICE 아메리카노,1,1500,2025-06-16 06:02:23,2025,6,16,06:02,A
ICE 아메리카노,1,1500,2025-06-16 06:00:56,2025,6,16,06:00,A
ICE 아메리카노,1,1500,2025-06-16 05:59:27,2025,6,16,05:59,A
ICE 아메리카노,1,1500,2025-06-16 05:57:55,2025,6,16,05:57,A
ICE 아메리카노,1,1500,2025-06-16 05:56:27,2025,6,16,05:56,A
ICE 아메리카노,1,1500,2025-06-16 05:54:55,2025,6,16,05:54,A
ICE 아메리카노,1,1500,2025-06-16 05:53:22,2025,6,16,05:53,A
아이스티+샷추가,1,2500,2025-06-16 05:51:51,2025,6,16,05:51,A
ICE 복숭아티,1,2000,2025-06-15 17:15:47,2025,6,15,17:15,A
ICE 아메리카노,1,1500,2025-06-15 13:29:22,2025,6,15,13:29,A
ICE 아메리카노,1,1500,2025-06-15 11:44:53,2025,6,15,11:44,A
아이스티+샷추가,1,2500,2025-06-15 11:10:05,2025,6,15,11:10,A
HOT 아메리카노,1,1500,2025-06-15 06:51:36,2025,6,15,06:51,A
ICE 아메리카노,1,1500,2025-06-15 06:47:53,2025,6,15,06:47,A
아이스티+샷추가,1,2500,2025-06-15 06:46:03,2025,6,15,06:46,A
아이스티+샷추가,1,2500,2025-06-15 06:44:38,2025,6,15,06:44,A
아이스티+샷추가,1,2500,2025-06-15 06:43:14,2025,6,15,06:43,A
ICE 아메리카노,1,1500,2025-06-15 06:36:13,2025,6,15,06:36,A
ICE 아메리카노,1,1500,2025-06-15 06:34:40,2025,6,15,06:34,A
아이스티+샷추가,1,2500,2025-06-15 06:33:13,2025,6,15,06:33,A
ICE 아메리카노,1,1500,2025-06-15 06:28:14,2025,6,15,06:28,A
ICE 복숭아티,1,2000,2025-06-15 06:26:35,2025,6,15,06:26,A
아이스티+샷추가,1,2500,2025-06-15 06:06:42,2025,6,15,06:06,A
ICE 토피넛,1,2500,2025-06-14 17:13:44,2025,6,14,17:13,A
ICE 청포도주스,1,2000,2025-06-14 16:45:31,2025,6,14,16:45,A
아이스티+샷추가,1,2500,2025-06-14 16:23:55,2025,6,14,16:23,A
아이스티+샷추가,1,2500,2025-06-14 13:46:29,2025,6,14,13:46,A
ICE 아메리카노,1,1500,2025-06-14 13:43:28,2025,6,14,13:43,A
ICE 아메리카노,1,1500,2025-06-14 11:46:45,2025,6,14,11:46,A
아이스티+샷추가,1,2500,2025-06-14 11:31:40,2025,6,14,11:31,A
ICE 아메리카노,1,1500,2025-06-14 11:19:30,2025,6,14,11:19,A
아이스티+샷추가,1,2500,2025-06-14 11:06:15,2025,6,14,11:06,A
ICE 청포도주스,1,2000,2025-06-14 08:52:49,2025,6,14,08:52,A
HOT 초코라떼,1,2500,2025-06-14 08:51:34,2025,6,14,08:51,A
ICE 아메리카노,1,1500,2025-06-14 08:40:56,2025,6,14,08:40,A
ICE 청귤티,1,2000,2025-06-14 06:56:27,2025,6,14,06:56,A
ICE 아메리카노,1,1500,2025-06-14 06:54:04,2025,6,14,06:54,A
ICE 초코라떼,1,2500,2025-06-14 06:52:22,2025,6,14,06:52,A
ICE 아메리카노,1,1500,2025-06-14 06:15:40,2025,6,14,06:15,A
HOT 아메리카노,1,1500,2025-06-14 06:14:19,2025,6,14,06:14,A
HOT 아메리카노,1,1500,2025-06-14 06:11:03,2025,6,14,06:11,A
ICE 아메리카노,1,1500,2025-06-14 06:08:44,2025,6,14,06:08,A
아이스티+샷추가,1,2500,2025-06-14 06:07:15,2025,6,14,06:07,A
ICE 아메리카노,1,1500,2025-06-14 06:05:43,2025,6,14,06:05,A
ICE 카페라떼,1,2000,2025-06-14 06:02:36,2025,6,14,06:02,A
ICE 아메리카노,1,1500,2025-06-14 06:00:58,2025,6,14,06:00,A
ICE 아메리카노,1,1500,2025-06-14 05:59:28,2025,6,14,05:59,A
아이스티+샷추가,1,2500,2025-06-14 05:56:45,2025,6,14,05:56,A
ICE 카페라떼,1,2000,2025-06-14 05:48:18,2025,6,14,05:48,A
ICE 아메리카노,1,1500,2025-06-14 05:41:49,2025,6,14,05:41,A
ICE 아메리카노,1,1500,2025-06-14 05:37:01,2025,6,14,05:37,A
ICE 패션후르츠,1,2000,2025-06-13 19:17:40,2025,6,13,19:17,A
ICE 초코라떼,1,2500,2025-06-13 19:13:41,2025,6,13,19:13,A
ICE 초코라떼,1,2500,2025-06-13 19:11:55,2025,6,13,19:11,A
ICE 토피넛,1,2500,2025-06-13 13:47:44,2025,6,13,13:47,A
ICE 청포도주스,1,2000,2025-06-13 11:49:12,2025,6,13,11:49,A
아이스티+샷추가,1,2500,2025-06-13 11:27:17,2025,6,13,11:27,A
ICE 아메리카노,1,1500,2025-06-13 11:25:25,2025,6,13,11:25,A
ICE 아메리카노,1,1500,2025-06-13 11:07:42,2025,6,13,11:07,A
ICE 아메리카노,1,1500,2025-06-13 09:13:14,2025,6,13,09:13,A
ICE 아메리카노,1,1500,2025-06-13 08:51:47,2025,6,13,08:51,A
ICE 얼그레이레몬 하이볼,1,2000,2025-06-13 06:54:25,2025,6,13,06:54,A
ICE 아메리카노,1,1500,2025-06-13 06:41:38,2025,6,13,06:41,A
ICE 카페라떼,1,2000,2025-06-13 06:20:35,2025,6,13,06:20,A
ICE 아메리카노,1,1500,2025-06-13 06:18:42,2025,6,13,06:18,A
ICE 아메리카노,1,1500,2025-06-13 06:12:35,2025,6,13,06:12,A
ICE 아메리카노,1,1500,2025-06-13 06:11:07,2025,6,13,06:11,A
ICE 아메리카노,1,1500,2025-06-13 06:09:41,2025,6,13,06:09,A
ICE 아메리카노,1,1500,2025-06-13 06:02:42,2025,6,13,06:02,A
ICE 카페라떼,1,2000,2025-06-13 05:53:49,2025,6,13,05:53,A
ICE 아메리카노,1,1500,2025-06-13 05:52:16,2025,6,13,05:52,A
ICE 아메리카노,1,1500,2025-06-13 05:50:30,2025,6,13,05:50,A
ICE 아메리카노,1,1500,2025-06-13 05:47:43,2025,6,13,05:47,A
ICE 복숭아티,1,2000,2025-06-12 11:55:01,2025,6,12,11:55,A
ICE 레몬티,1,2000,2025-06-12 11:48:16,2025,6,12,11:48,A
ICE 청포도주스,1,2000,2025-06-12 11:44:43,2025,6,12,11:44,A
ICE 아메리카노,1,1500,2025-06-12 11:34:58,2025,6,12,11:34,A
ICE 아메리카노,1,1500,2025-06-12 11:15:06,2025,6,12,11:15,A
ICE 아메리카노,1,1500,2025-06-12 08:47:22,2025,6,12,08:47,A
ICE 청포도주스,1,2000,2025-06-12 06:54:57,2025,6,12,06:54,A
ICE 청포도주스,1,2000,2025-06-12 06:53:46,2025,6,12,06:53,A
ICE 아메리카노,1,1500,2025-06-12 06:52:10,2025,6,12,06:52,A
ICE 아메리카노,1,1500,2025-06-12 06:42:39,2025,6,12,06:42,A
ICE 카페라떼,1,2000,2025-06-12 06:18:49,2025,6,12,06:18,A
ICE 아메리카노,1,1500,2025-06-12 06:15:30,2025,6,12,06:15,A
HOT 초코라떼,1,2500,2025-06-12 06:14:26,2025,6,12,06:14,A
ICE 아메리카노,1,1500,2025-06-12 06:12:42,2025,6,12,06:12,A
ICE 아메리카노,1,1500,2025-06-12 06:11:05,2025,6,12,06:11,A
ICE 아메리카노,1,1500,2025-06-12 06:08:31,2025,6,12,06:08,A
ICE 아메리카노,1,1500,2025-06-12 06:02:00,2025,6,12,06:02,A
ICE 아메리카노,1,1500,2025-06-12 05:55:49,2025,6,12,05:55,A
ICE 아메리카노,1,1500,2025-06-12 05:53:41,2025,6,12,05:53,A
ICE 청귤티,1,2000,2025-06-11 17:36:43,2025,6,11,17:36,A
아이스티+샷추가,1,2500,2025-06-11 16:12:18,2025,6,11,16:12,A
아이스티+샷추가,1,2500,2025-06-11 15:53:58,2025,6,11,15:53,A
ICE 아메리카노,1,1500,2025-06-11 13:46:08,2025,6,11,13:46,A
ICE 아메리카노,1,1500,2025-06-11 13:44:34,2025,6,11,13:44,A
ICE 아메리카노,1,1500,2025-06-11 11:56:27,2025,6,11,11:56,A
HOT 아메리카노,1,1500,2025-06-11 11:23:03,2025,6,11,11:23,A
ICE 초코라떼,1,2500,2025-06-11 08:50:54,2025,6,11,08:50,A
ICE 얼그레이레몬 하이볼,1,2000,2025-06-11 08:47:16,2025,6,11,08:47,A
ICE 아메리카노,1,0,2025-06-11 06:50:42,2025,6,11,06:50,A
ICE 아메리카노,1,1500,2025-06-11 06:13:14,2025,6,11,06:13,A
ICE 아메리카노,1,1500,2025-06-11 06:11:41,2025,6,11,06:11,A
ICE 아메리카노,1,1500,2025-06-11 06:10:15,2025,6,11,06:10,A
ICE 아메리카노,1,1500,2025-06-11 06:04:49,2025,6,11,06:04,A
ICE 아메리카노,1,1500,2025-06-11 06:03:18,2025,6,11,06:03,A
ICE 아메리카노,1,1500,2025-06-11 06:00:56,2025,6,11,06:00,A
ICE 아메리카노,1,1500,2025-06-11 05:59:22,2025,6,11,05:59,A
ICE 아메리카노,1,1500,2025-06-11 05:43:21,2025,6,11,05:43,A
ICE 아메리카노,1,1500,2025-06-11 05:24:01,2025,6,11,05:24,A
ICE 복숭아티,1,2000,2025-06-10 13:50:24,2025,6,10,13:50,A
ICE 얼그레이레몬 하이볼,1,2000,2025-06-10 13:44:37,2025,6,10,13:44,A
HOT 아메리카노,1,1500,2025-06-10 13:41:19,2025,6,10,13:41,A
ICE 초코라떼,1,2500,2025-06-10 11:40:35,2025,6,10,11:40,A
ICE 아메리카노,1,1500,2025-06-10 11:25:58,2025,6,10,11:25,A
ICE 아메리카노,1,1500,2025-06-10 11:19:40,2025,6,10,11:19,A
ICE 청귤티,1,2000,2025-06-10 11:08:55,2025,6,10,11:08,A
아이스티+샷추가,1,2500,2025-06-10 11:07:16,2025,6,10,11:07,A
HOT 초코라떼,1,2500,2025-06-10 08:54:46,2025,6,10,08:54,A
ICE 아메리카노,1,1500,2025-06-10 06:17:07,2025,6,10,06:17,A
ICE 아메리카노,1,1500,2025-06-10 05:58:57,2025,6,10,05:58,A
ICE 아메리카노,1,1500,2025-06-10 05:57:10,2025,6,10,05:57,A
ICE 아메리카노,1,1500,2025-06-10 05:53:17,2025,6,10,05:53,A
ICE 아메리카노,1,1500,2025-06-10 05:51:40,2025,6,10,05:51,A
ICE 카페라떼,1,2000,2025-06-10 05:50:15,2025,6,10,05:50,A
ICE 아메리카노,1,1500,2025-06-10 05:48:39,2025,6,10,05:48,A
ICE 아메리카노,1,1500,2025-06-10 05:47:09,2025,6,10,05:47,A
ICE 아메리카노,1,1500,2025-06-10 05:45:24,2025,6,10,05:45,A
ICE 초코라떼,1,2500,2025-06-09 18:49:55,2025,6,9,18:49,A
ICE 아메리카노,1,1500,2025-06-09 17:00:51,2025,6,9,17:00,A
ICE 청귤티,1,2000,2025-06-09 13:55:37,2025,6,9,13:55,A
ICE 초코라떼,1,2500,2025-06-09 13:49:08,2025,6,9,13:49,A
아이스티+샷추가,1,2500,2025-06-09 13:45:11,2025,6,9,13:45,A
ICE 얼그레이레몬 하이볼,1,2000,2025-06-09 13:44:01,2025,6,9,13:44,A
ICE 레몬티,1,2000,2025-06-09 13:41:34,2025,6,9,13:41,A
ICE 아메리카노,1,1500,2025-06-09 11:50:49,2025,6,9,11:50,A
ICE 아메리카노,1,1500,2025-06-09 11:35:05,2025,6,9,11:35,A
ICE 아메리카노,1,1500,2025-06-09 11:19:10,2025,6,9,11:19,A
ICE 초코라떼,1,2500,2025-06-09 11:13:38,2025,6,9,11:13,A
ICE 카페라떼,1,2000,2025-06-09 08:46:45,2025,6,9,08:46,A
ICE 청포도주스,1,2000,2025-06-09 08:44:20,2025,6,9,08:44,A
ICE 아메리카노,1,1500,2025-06-09 08:42:41,2025,6,9,08:42,A
ICE 청포도주스,1,2000,2025-06-09 06:58:52,2025,6,9,06:58,A
ICE 청포도주스,1,2000,2025-06-09 06:56:50,2025,6,9,06:56,A
HOT 아메리카노,1,1500,2025-06-09 06:54:36,2025,6,9,06:54,A
ICE 아메리카노,1,1500,2025-06-09 06:48:26,2025,6,9,06:48,A
ICE 아메리카노,1,1500,2025-06-09 06:13:58,2025,6,9,06:13,A
ICE 아메리카노,1,1500,2025-06-09 06:09:01,2025,6,9,06:09,A
ICE 아메리카노,1,1500,2025-06-09 05:52:44,2025,6,9,05:52,A
ICE 아메리카노,1,1500,2025-06-09 05:46:46,2025,6,9,05:46,A
아이스티+샷추가,1,2500,2025-06-09 05:43:44,2025,6,9,05:43,A
ICE 아메리카노,1,1500,2025-06-09 05:42:10,2025,6,9,05:42,A
ICE 아메리카노,1,1500,2025-06-09 05:36:29,2025,6,9,05:36,A
ICE 바닐라라떼,1,2700,2025-06-09 05:34:29,2025,6,9,05:34,A
HOT 바닐라라떼,1,2700,2025-06-09 05:18:35,2025,6,9,05:18,A
HOT 초코라떼,1,2500,2025-06-08 11:52:59,2025,6,8,11:52,A
ICE 청포도주스,1,2000,2025-06-07 19:16:31,2025,6,7,19:16,A
ICE 아메리카노,1,1500,2025-06-07 17:11:05,2025,6,7,17:11,A
ICE 청포도주스,1,2000,2025-06-07 16:56:54,2025,6,7,16:56,A
ICE 패션후르츠,1,2000,2025-06-07 16:26:36,2025,6,7,16:26,A
ICE 청귤티,1,2000,2025-06-07 16:19:01,2025,6,7,16:19,A
ICE 아메리카노,1,1500,2025-06-07 15:03:56,2025,6,7,15:03,A
ICE 패션후르츠,1,2000,2025-06-07 13:47:26,2025,6,7,13:47,A
ICE 청귤티,1,2000,2025-06-07 11:56:59,2025,6,7,11:56,A
ICE 복숭아티,1,2000,2025-06-07 11:43:43,2025,6,7,11:43,A
아이스티+샷추가,1,2500,2025-06-07 11:42:15,2025,6,7,11:42,A
아이스티+샷추가,1,2500,2025-06-07 11:04:33,2025,6,7,11:04,A
ICE 얼그레이레몬 하이볼,1,2000,2025-06-07 08:42:10,2025,6,7,08:42,A
ICE 얼그레이레몬 하이볼,1,2000,2025-06-07 06:52:03,2025,6,7,06:52,A
ICE 아메리카노,1,1500,2025-06-07 06:44:56,2025,6,7,06:44,A
HOT 카페라떼,1,2000,2025-06-07 06:43:15,2025,6,7,06:43,A
ICE 바닐라라떼,1,2700,2025-06-07 06:41:34,2025,6,7,06:41,A
ICE 아메리카노,1,1500,2025-06-07 06:06:03,2025,6,7,06:06,A
아이스티+샷추가,1,2500,2025-06-07 06:04:31,2025,6,7,06:04,A
ICE 아메리카노,1,1500,2025-06-07 05:59:37,2025,6,7,05:59,A
ICE 아메리카노,1,1500,2025-06-07 05:52:16,2025,6,7,05:52,A
ICE 아메리카노,1,1500,2025-06-07 05:50:42,2025,6,7,05:50,A
ICE 카페라떼,1,2000,2025-06-07 05:49:12,2025,6,7,05:49,A
ICE 아메리카노,1,1500,2025-06-07 05:47:26,2025,6,7,05:47,A
ICE 복숭아티,1,2000,2025-06-07 05:43:18,2025,6,7,05:43,A
ICE 메론 주스,1,2000,2025-06-07 05:39:11,2025,6,7,05:39,A
