Product Name,Quantity Ordered,Total Sales,Order Time,Year,Month,Day,Order HourMinute,Machine
HOT 아메리카노,1,1500,2025-06-30 23:53:12,2025,6,30,23:53,B
ICE 패션후르츠,1,2000,2025-06-30 21:23:00,2025,6,30,21:23,B
ICE 레몬티,1,2000,2025-06-30 19:20:24,2025,6,30,19:20,B
ICE 복숭아티,1,2000,2025-06-30 19:17:10,2025,6,30,19:17,B
ICE 패션후르츠,1,2000,2025-06-30 19:15:36,2025,6,30,19:15,B
ICE 초코라떼,1,2500,2025-06-30 19:11:57,2025,6,30,19:11,B
ICE 복숭아티,1,2000,2025-06-30 19:03:50,2025,6,30,19:03,B
HOT 초코라떼,1,2500,2025-06-30 19:02:31,2025,6,30,19:02,B
ICE 패션후르츠,1,2000,2025-06-30 18:57:35,2025,6,30,18:57,B
ICE 아메리카노,1,1500,2025-06-30 18:23:55,2025,6,30,18:23,B
ICE 아메리카노,1,1500,2025-06-30 17:43:16,2025,6,30,17:43,B
ICE 아메리카노,1,1500,2025-06-30 17:18:21,2025,6,30,17:18,B
ICE 패션후르츠,1,2000,2025-06-30 17:16:01,2025,6,30,17:16,B
아이스티+샷추가,1,2500,2025-06-30 17:11:36,2025,6,30,17:11,B
ICE 청귤티,1,2000,2025-06-30 17:05:33,2025,6,30,17:05,B
ICE 바닐라라떼,1,2700,2025-06-30 16:51:58,2025,6,30,16:51,B
ICE 레몬티,1,2000,2025-06-30 16:49:33,2025,6,30,16:49,B
ICE 아메리카노,1,1500,2025-06-30 16:48:03,2025,6,30,16:48,B
ICE 바닐라라떼,1,2700,2025-06-30 16:39:34,2025,6,30,16:39,B
ICE 패션후르츠,1,2000,2025-06-30 16:22:37,2025,6,30,16:22,B
ICE 아메리카노,1,0,2025-06-30 12:55:56,2025,6,30,12:55,B
ICE 아메리카노,1,1500,2025-06-30 12:31:27,2025,6,30,12:31,B
ICE 아메리카노,1,1500,2025-06-30 12:14:05,2025,6,30,12:14,B
ICE 아메리카노,1,1500,2025-06-30 11:57:52,2025,6,30,11:57,B
ICE 복숭아티,1,2000,2025-06-30 11:56:42,2025,6,30,11:56,B
ICE 청포도주스,1,2000,2025-06-30 11:54:29,2025,6,30,11:54,B
ICE 얼그레이레몬 하이볼,1,2000,2025-06-30 11:37:05,2025,6,30,11:37,B
ICE 복숭아티,1,2000,2025-06-30 07:00:59,2025,6,30,07:00,B
ICE 아메리카노,1,1500,2025-06-30 06:30:12,2025,6,30,06:30,B
HOT 레몬티,1,2000,2025-06-30 06:19:53,2025,6,30,06:19,B
아이스티+샷추가,1,2500,2025-06-30 06:17:10,2025,6,30,06:17,B
아이스티+샷추가,1,2500,2025-06-30 06:12:31,2025,6,30,06:12,B
아이스티+샷추가,1,2500,2025-06-30 06:11:04,2025,6,30,06:11,B
ICE 아메리카노,1,1500,2025-06-30 06:09:22,2025,6,30,06:09,B
아이스티+샷추가,1,2500,2025-06-30 06:07:56,2025,6,30,06:07,B
ICE 아메리카노,1,1500,2025-06-30 06:06:24,2025,6,30,06:06,B
ICE 아메리카노,1,1500,2025-06-30 06:04:54,2025,6,30,06:04,B
ICE 아메리카노,1,1500,2025-06-30 06:03:20,2025,6,30,06:03,B
ICE 아메리카노,1,1500,2025-06-30 06:01:49,2025,6,30,06:01,B
ICE 초코라떼,1,2500,2025-06-30 05:54:05,2025,6,30,05:54,B
HOT 바닐라라떼,1,2700,2025-06-30 05:51:55,2025,6,30,05:51,B
ICE 아메리카노,1,1500,2025-06-30 05:50:15,2025,6,30,05:50,B
아이스티+샷추가,1,2500,2025-06-30 05:48:43,2025,6,30,05:48,B
아이스티+샷추가,1,2500,2025-06-30 05:40:01,2025,6,30,05:40,B
ICE 아메리카노,1,1500,2025-06-30 05:37:17,2025,6,30,05:37,B
ICE 메론 주스,1,2000,2025-06-29 19:11:07,2025,6,29,19:11,B
ICE 복숭아티,1,2000,2025-06-29 17:15:04,2025,6,29,17:15,B
ICE 복숭아티,1,2000,2025-06-29 16:51:41,2025,6,29,16:51,B
ICE 아메리카노,1,1500,2025-06-29 16:34:47,2025,6,29,16:34,B
ICE 아메리카노,2,3000,2025-06-29 12:50:59,2025,6,29,12:50,B
아이스티+샷추가,1,2500,2025-06-29 11:57:25,2025,6,29,11:57,B
ICE 아메리카노,1,1500,2025-06-29 11:55:58,2025,6,29,11:55,B
ICE 청포도주스,1,2000,2025-06-29 11:54:50,2025,6,29,11:54,B
ICE 복숭아티,1,2000,2025-06-29 11:44:11,2025,6,29,11:44,B
아이스티+샷추가,1,2500,2025-06-29 11:39:18,2025,6,29,11:39,B
ICE 아메리카노,1,1500,2025-06-29 11:37:43,2025,6,29,11:37,B
아이스티+샷추가,1,2500,2025-06-29 11:29:56,2025,6,29,11:29,B
ICE 아메리카노,1,1500,2025-06-29 11:09:31,2025,6,29,11:09,B
ICE 청포도주스,1,2000,2025-06-29 11:04:00,2025,6,29,11:04,B
아이스티+샷추가,1,2500,2025-06-29 11:01:53,2025,6,29,11:01,B
ICE 복숭아티,1,2000,2025-06-29 11:00:32,2025,6,29,11:00,B
ICE 바닐라라떼,1,2700,2025-06-29 08:57:37,2025,6,29,08:57,B
아이스티+샷추가,1,2500,2025-06-29 08:45:02,2025,6,29,08:45,B
ICE 청귤티,1,2250,2025-06-29 07:25:52,2025,6,29,07:25,B
ICE 토피넛,1,2250,2025-06-29 07:25:52,2025,6,29,07:25,B
아이스티+샷추가,1,2500,2025-06-29 06:42:57,2025,6,29,06:42,B
ICE 아메리카노,1,1500,2025-06-29 06:41:22,2025,6,29,06:41,B
아이스티+샷추가,1,2500,2025-06-29 06:39:49,2025,6,29,06:39,B
ICE 아메리카노,1,1500,2025-06-29 06:38:18,2025,6,29,06:38,B
아이스티+샷추가,1,2500,2025-06-29 06:36:53,2025,6,29,06:36,B
HOT 아메리카노,1,1500,2025-06-29 06:35:27,2025,6,29,06:35,B
ICE 아메리카노,1,1500,2025-06-29 06:33:53,2025,6,29,06:33,B
ICE 아메리카노,1,1500,2025-06-29 06:31:55,2025,6,29,06:31,B
ICE 청포도주스,1,2000,2025-06-29 06:30:42,2025,6,29,06:30,B
ICE 아메리카노,1,1500,2025-06-29 06:29:05,2025,6,29,06:29,B
ICE 아메리카노,1,1500,2025-06-29 06:27:35,2025,6,29,06:27,B
아이스티+샷추가,1,2500,2025-06-29 06:26:09,2025,6,29,06:26,B
HOT 아메리카노,1,1500,2025-06-29 06:24:48,2025,6,29,06:24,B
ICE 아메리카노,1,1500,2025-06-29 06:23:10,2025,6,29,06:23,B
