Product Name,Quantity Ordered,Total Sales,Order Time,Year,Month,Day,Order HourMinute,Machine
ICE 아메리카노,1,1500,2025-06-30 06:58:16,2025,6,30,06:58,C
ICE 아메리카노,1,1500,2025-06-30 06:19:14,2025,6,30,06:19,C
ICE 아메리카노,1,1500,2025-06-30 05:59:52,2025,6,30,05:59,C
ICE 아메리카노,1,1500,2025-06-30 05:58:08,2025,6,30,05:58,C
아이스티+샷추가,1,2500,2025-06-30 05:53:18,2025,6,30,05:53,C
ICE 아메리카노,1,1500,2025-06-30 05:51:41,2025,6,30,05:51,C
아이스티+샷추가,1,2500,2025-06-30 05:50:11,2025,6,30,05:50,C
ICE 아메리카노,1,1500,2025-06-30 05:48:37,2025,6,30,05:48,C
ICE 아메리카노,1,1500,2025-06-30 05:47:05,2025,6,30,05:47,C
ICE 아메리카노,1,1500,2025-06-30 05:45:29,2025,6,30,05:45,C
아이스티+샷추가,1,2500,2025-06-30 05:43:56,2025,6,30,05:43,C
아이스티+샷추가,1,2500,2025-06-30 05:42:30,2025,6,30,05:42,C
ICE 아메리카노,1,1500,2025-06-30 05:40:54,2025,6,30,05:40,C
HOT 아메리카노,1,1500,2025-06-30 05:31:20,2025,6,30,05:31,C
HOT 초코라떼,1,2500,2025-06-29 13:47:46,2025,6,29,13:47,C
ICE 아메리카노,1,0,2025-06-29 12:30:38,2025,6,29,12:30,C
HOT 바닐라라떼,1,2300,2025-06-29 11:47:18,2025,6,29,11:47,C
HOT 아메리카노,1,1500,2025-06-29 11:20:06,2025,6,29,11:20,C
HOT 레몬티,1,2000,2025-06-29 11:05:11,2025,6,29,11:05,C
HOT 아메리카노,1,1500,2025-06-29 06:47:12,2025,6,29,06:47,C
HOT 아메리카노,1,1500,2025-06-28 13:45:39,2025,6,28,13:45,C
HOT 아메리카노,1,1500,2025-06-28 13:44:18,2025,6,28,13:44,C
HOT 초코라떼,1,2500,2025-06-28 11:17:10,2025,6,28,11:17,C
HOT 레몬티,1,2000,2025-06-28 08:49:51,2025,6,28,08:49,C
HOT 아메리카노,1,1500,2025-06-28 06:42:04,2025,6,28,06:42,C
HOT 카페라떼,1,2000,2025-06-28 06:18:33,2025,6,28,06:18,C
HOT 아메리카노,1,1500,2025-06-28 06:08:51,2025,6,28,06:08,C
HOT 아메리카노,1,1500,2025-06-28 06:07:24,2025,6,28,06:07,C
HOT 아메리카노,1,1500,2025-06-28 05:59:21,2025,6,28,05:59,C
HOT 아메리카노,1,1500,2025-06-28 05:57:04,2025,6,28,05:57,C
HOT 아메리카노,1,1750,2025-06-28 05:54:33,2025,6,28,05:54,C
HOT 카페라떼,1,1750,2025-06-28 05:54:33,2025,6,28,05:54,C
ICE 복숭아티,1,2000,2025-06-23 07:41:00,2025,6,23,07:41,C
ICE 아메리카노,1,1500,2025-06-23 06:28:22,2025,6,23,06:28,C
ICE 청포도주스,1,2000,2025-06-22 21:36:31,2025,6,22,21:36,C
ICE 청포도주스,1,2000,2025-06-22 18:36:05,2025,6,22,18:36,C
ICE 레몬티,1,2000,2025-06-22 16:13:16,2025,6,22,16:13,C
아이스티+샷추가,1,2500,2025-06-22 16:09:31,2025,6,22,16:09,C
ICE 아메리카노,1,1500,2025-06-22 16:05:09,2025,6,22,16:05,C
ICE 패션후르츠,1,2000,2025-06-22 13:48:39,2025,6,22,13:48,C
ICE 카페라떼,1,2000,2025-06-22 13:44:58,2025,6,22,13:44,C
HOT 토피넛,1,2500,2025-06-22 08:22:54,2025,6,22,08:22,C
HOT 바닐라라떼,1,2300,2025-06-22 06:44:56,2025,6,22,06:44,C
HOT 아메리카노,1,1500,2025-06-22 06:33:46,2025,6,22,06:33,C
HOT 아메리카노,1,1500,2025-06-22 06:30:07,2025,6,22,06:30,C
ICE 아메리카노,1,1500,2025-06-22 06:28:16,2025,6,22,06:28,C
아이스티+샷추가,1,2500,2025-06-22 06:25:24,2025,6,22,06:25,C
HOT 아메리카노,1,1500,2025-06-22 06:24:01,2025,6,22,06:24,C
아이스티+샷추가,1,2500,2025-06-22 06:22:28,2025,6,22,06:22,C
ICE 아메리카노,1,1500,2025-06-22 06:20:41,2025,6,22,06:20,C
아이스티+샷추가,1,2500,2025-06-22 06:15:21,2025,6,22,06:15,C
아이스티+샷추가,1,2500,2025-06-22 06:13:57,2025,6,22,06:13,C
ICE 아메리카노,1,1500,2025-06-22 06:12:25,2025,6,22,06:12,C
아이스티+샷추가,1,2500,2025-06-22 06:06:47,2025,6,22,06:06,C
아이스티+샷추가,1,2500,2025-06-22 06:05:10,2025,6,22,06:05,C
아이스티+샷추가,1,2500,2025-06-22 06:03:43,2025,6,22,06:03,C
ICE 아메리카노,1,1500,2025-06-22 06:02:01,2025,6,22,06:02,C
아이스티+샷추가,1,2500,2025-06-22 06:00:37,2025,6,22,06:00,C
ICE 아메리카노,1,1500,2025-06-22 05:59:04,2025,6,22,05:59,C
ICE 청포도주스,2,4000,2025-06-22 01:34:31,2025,6,22,01:34,C
아이스티+샷추가,1,2500,2025-06-22 01:19:40,2025,6,22,01:19,C
ICE 청포도주스,1,2000,2025-06-22 01:18:12,2025,6,22,01:18,C
ICE 패션후르츠,1,2000,2025-06-22 01:16:35,2025,6,22,01:16,C
ICE 청포도주스,1,2000,2025-06-21 19:17:18,2025,6,21,19:17,C
ICE 토피넛,1,2500,2025-06-21 19:14:28,2025,6,21,19:14,C
