Product Name,Quantity Ordered,Total Sales,Order Time,Year,Month,Day,Order HourMinute,Machine
ICE 청포도주스,1,2000,2025-05-31 16:38:18,2025,5,31,16:38,D
ICE 녹차라떼,1,2500,2025-05-31 16:19:58,2025,5,31,16:19,D
아이스티+샷추가,1,2500,2025-05-31 16:18:10,2025,5,31,16:18,D
아이스티+샷추가,1,2500,2025-05-31 16:16:25,2025,5,31,16:16,D
ICE 복숭아티,1,2000,2025-05-31 16:10:20,2025,5,31,16:10,D
ICE 초코라떼,1,2700,2025-05-31 13:47:47,2025,5,31,13:47,D
아이스티+샷추가,1,2500,2025-05-31 11:08:25,2025,5,31,11:08,D
아이스티+샷추가,1,2500,2025-05-31 11:06:49,2025,5,31,11:06,D
ICE 청포도주스,1,2000,2025-05-31 11:04:15,2025,5,31,11:04,D
ICE 얼그레이레몬 하이볼,1,2000,2025-05-31 11:04:15,2025,5,31,11:04,D
ICE 복숭아티,1,2000,2025-05-30 17:13:20,2025,5,30,17:13,D
ICE 아메리카노,1,1500,2025-05-30 16:30:18,2025,5,30,16:30,D
ICE 아메리카노,1,1500,2025-05-30 15:59:05,2025,5,30,15:59,D
ICE 아메리카노,1,1500,2025-05-30 14:38:08,2025,5,30,14:38,D
ICE 얼그레이레몬 하이볼,1,2000,2025-05-30 11:56:48,2025,5,30,11:56,D
ICE 복숭아티,1,2000,2025-05-30 11:11:31,2025,5,30,11:11,D
ICE 아메리카노,1,1500,2025-05-30 08:51:05,2025,5,30,08:51,D
ICE 청귤티,1,2000,2025-05-30 08:47:37,2025,5,30,08:47,D
ICE 청귤티,1,2000,2025-05-30 06:01:44,2025,5,30,06:01,D
ICE 복숭아티,1,2000,2025-05-29 20:01:06,2025,5,29,20:01,D
ICE 복숭아티,1,2000,2025-05-29 19:59:37,2025,5,29,19:59,D
ICE 복숭아티,1,2000,2025-05-29 16:46:24,2025,5,29,16:46,D
ICE 아메리카노,1,1500,2025-05-29 14:35:33,2025,5,29,14:35,D
ICE 아메리카노,1,1500,2025-05-29 13:45:10,2025,5,29,13:45,D
ICE 메론 주스,1,2000,2025-05-29 13:16:06,2025,5,29,13:16,D
ICE 아메리카노,1,2100,2025-05-29 13:09:40,2025,5,29,13:09,D
ICE 바닐라라떼,1,2100,2025-05-29 13:09:40,2025,5,29,13:09,D
ICE 아메리카노,1,1500,2025-05-29 11:41:44,2025,5,29,11:41,D
ICE 카페라떼,1,2000,2025-05-29 09:39:32,2025,5,29,09:39,D
아이스티+샷추가,1,2500,2025-05-29 08:45:17,2025,5,29,08:45,D
ICE 초코라떼,1,2350,2025-05-29 06:29:56,2025,5,29,06:29,D
ICE 청포도주스,1,2350,2025-05-29 06:29:56,2025,5,29,06:29,D
ICE 초코라떼,1,2700,2025-05-28 19:46:53,2025,5,28,19:46,D
ICE 토피넛,1,2500,2025-05-28 19:14:18,2025,5,28,19:14,D
HOT 녹차라떼,1,2500,2025-05-28 19:08:22,2025,5,28,19:08,D
ICE 메론 주스,1,2000,2025-05-28 17:16:13,2025,5,28,17:16,D
ICE 복숭아티,1,2000,2025-05-28 17:07:48,2025,5,28,17:07,D
ICE 카페라떼,1,2000,2025-05-28 16:56:11,2025,5,28,16:56,D
ICE 아메리카노,1,1500,2025-05-28 16:50:03,2025,5,28,16:50,D
ICE 아메리카노,1,1500,2025-05-28 16:45:05,2025,5,28,16:45,D
ICE 초코라떼,1,2700,2025-05-28 16:17:26,2025,5,28,16:17,D
ICE 아메리카노,1,1500,2025-05-28 16:08:14,2025,5,28,16:08,D
ICE 녹차라떼,1,2500,2025-05-28 14:16:32,2025,5,28,14:16,D
ICE 얼그레이레몬 하이볼,1,2000,2025-05-28 13:44:22,2025,5,28,13:44,D
ICE 바닐라라떼,1,2700,2025-05-28 12:40:51,2025,5,28,12:40,D
ICE 아메리카노,1,1500,2025-05-28 12:20:48,2025,5,28,12:20,D
ICE 청귤티,1,2000,2025-05-28 11:55:30,2025,5,28,11:55,D
ICE 아메리카노,1,1500,2025-05-28 11:47:23,2025,5,28,11:47,D
ICE 아메리카노,1,1500,2025-05-28 11:44:08,2025,5,28,11:44,D
ICE 복숭아티,1,2000,2025-05-28 11:41:59,2025,5,28,11:41,D
ICE 복숭아티,1,2000,2025-05-28 11:15:16,2025,5,28,11:15,D
ICE 토피넛,1,2500,2025-05-28 11:12:10,2025,5,28,11:12,D
ICE 얼그레이레몬 하이볼,1,2000,2025-05-28 08:43:39,2025,5,28,08:43,D
HOT 아메리카노,1,1500,2025-05-28 08:19:47,2025,5,28,08:19,D
ICE 아메리카노,1,1500,2025-05-28 08:19:47,2025,5,28,08:19,D
ICE 카페라떼,1,2000,2025-05-28 06:30:24,2025,5,28,06:30,D
ICE 패션후르츠,1,2000,2025-05-27 21:03:28,2025,5,27,21:03,D
ICE 청포도주스,1,2000,2025-05-27 16:23:39,2025,5,27,16:23,D
ICE 얼그레이레몬 하이볼,1,2000,2025-05-27 16:08:22,2025,5,27,16:08,D
ICE 얼그레이레몬 하이볼,1,2000,2025-05-27 13:59:30,2025,5,27,13:59,D
ICE 녹차라떼,1,2500,2025-05-27 13:48:52,2025,5,27,13:48,D
HOT 토피넛,1,2500,2025-05-27 13:47:40,2025,5,27,13:47,D
ICE 청포도주스,1,2000,2025-05-27 12:49:29,2025,5,27,12:49,D
ICE 아메리카노,1,1500,2025-05-27 12:29:40,2025,5,27,12:29,D
ICE 토피넛,1,2500,2025-05-27 11:44:52,2025,5,27,11:44,D
ICE 아메리카노,1,1500,2025-05-27 11:42:44,2025,5,27,11:42,D
ICE 아메리카노,1,1500,2025-05-27 11:36:47,2025,5,27,11:36,D
ICE 청귤티,1,2000,2025-05-27 08:55:19,2025,5,27,08:55,D
ICE 얼그레이레몬 하이볼,1,2000,2025-05-27 08:52:12,2025,5,27,08:52,D
ICE 얼그레이레몬 하이볼,1,2000,2025-05-27 08:50:59,2025,5,27,08:50,D
ICE 복숭아티,1,2000,2025-05-27 08:48:58,2025,5,27,08:48,D
아이스티+샷추가,1,2500,2025-05-27 06:55:20,2025,5,27,06:55,D
ICE 아메리카노,1,1750,2025-05-27 06:29:19,2025,5,27,06:29,D
ICE 청포도주스,1,1750,2025-05-27 06:29:19,2025,5,27,06:29,D
ICE 청포도주스,1,2000,2025-05-26 19:11:20,2025,5,26,19:11,D
ICE 아메리카노,2,3000,2025-05-26 11:40:23,2025,5,26,11:40,D
ICE 녹차라떼,1,2500,2025-05-26 11:33:32,2025,5,26,11:33,D
ICE 아메리카노,2,3600,2025-05-26 08:24:28,2025,5,26,08:24,D
ICE 복숭아티,2,3600,2025-05-26 08:24:28,2025,5,26,08:24,D
ICE 청귤티,1,1800,2025-05-26 08:24:28,2025,5,26,08:24,D
ICE 복숭아티,1,2333,2025-05-26 01:24:01,2025,5,26,01:24,D
아이스티+샷추가,2,4667,2025-05-26 01:24:01,2025,5,26,01:24,D
ICE 아메리카노,2,3667,2025-05-25 23:58:16,2025,5,25,23:58,D
아이스티+샷추가,1,1833,2025-05-25 23:58:16,2025,5,25,23:58,D
아이스티+샷추가,1,2500,2025-05-25 23:55:57,2025,5,25,23:55,D
HOT 토피넛,1,2500,2025-05-24 17:15:07,2025,5,24,17:15,D
HOT 아메리카노,1,0,2025-05-23 08:42:16,2025,5,23,08:42,D
